class	occurrences	chapters
thought	1726	ch001, ch002, ch003, ch005, ch006, ch007, ch008, ch009, ch010, ch011, ch012, ch013, ch014, ch015, ch016, ch017, ch018, ch019, ch021, ch022, ch024, ch025, ch026, ch027, ch028, ch029, ch030, ch031, ch032, ch033, ch034, ch035, ch036, ch037, ch038, ch040, ch041, ch042, ch043, ch044, ch045, ch046, ch047, ch050, ch051, ch052, ch053, ch054, ch055, ch056, ch059, ch060, ch061, ch064, ch065, ch066, ch067, ch068, ch069, ch071, ch072, ch073, ch075, ch079, ch080, ch081, ch082, ch083, ch085, ch087, ch088, ch089, ch090, ch091, ch092, ch093, ch094, ch095, ch096, ch098, ch101, ch102, ch105, ch106, ch109, ch110, ch111, ch112, ch113, ch114, ch115, ch116, ch117, ch119, ch121, ch122, ch124, ch125, ch127, ch128, ch129, ch130, ch131, ch132, ch133, ch134, ch135, ch136, ch137, ch138, ch139, ch141, ch142, ch144, ch146, ch151, ch153, ch156, ch157, ch159, ch163, ch164, ch165, ch168, ch172, ch173, ch174, ch175, ch177, ch178, ch181, ch182, ch183, ch184, ch185, ch186, ch187, ch188, ch189, ch190, ch191, ch192, ch193, ch194, ch195, ch196, ch197, ch198, ch199, ch200, ch201, ch202, ch203, ch204, ch205, ch206, ch207, ch208, ch209, ch210, ch211, ch212, ch213, ch214, ch215, ch216, ch217, ch218, ch219, ch220, ch221, ch222, ch223, ch224, ch225, ch226, ch227, ch228, ch229, ch230, ch231, ch232, ch233, ch234, ch235, ch236, ch237, ch238, ch239, ch240, ch241, ch242, ch243, ch244, ch245, ch246, ch247, ch248, ch249, ch250, ch251, ch252, ch253, ch254, ch256, ch257, ch258, ch259, ch260, ch261, ch262, ch264, ch265, ch266, ch267, ch268, ch269, ch271, ch272, ch273, ch274, ch275, ch277, ch278, ch279, ch280, ch281, ch282, ch284, ch286, ch287, ch288, ch289, ch290, ch291, ch292, ch293, ch294, ch295, ch296, ch297, ch298, ch299, ch300, ch301, ch302, ch303
tr-artist	19	ch149, ch162, ch245, ch269, ch275, ch278, ch293
tr-cat	19	ch149, ch162, ch245
tr-header	20	ch030, ch091, ch096, ch104, ch108, ch115, ch125, ch126, ch139, ch143, ch149, ch162, ch227, ch245, ch269, ch275, ch278, ch293, ch300
tr-hot	37	ch030, ch091, ch096, ch104, ch108, ch115, ch125, ch126, ch139, ch143, ch149, ch162, ch227, ch245, ch269, ch275, ch278, ch293, ch300
tr-rank	90	ch030, ch091, ch096, ch104, ch108, ch115, ch125, ch126, ch139, ch143, ch149, ch162, ch227, ch245, ch269, ch275, ch278, ch293, ch300
tr-work	19	ch149, ch162, ch245, ch269, ch275, ch278, ch293
trend-block	20	ch030, ch091, ch096, ch104, ch108, ch115, ch125, ch126, ch139, ch143, ch149, ch162, ch227, ch245, ch269, ch275, ch278, ch293, ch300
variety-block	11	ch118, ch119, ch120, ch138
vt-caption	6	ch118, ch119, ch120, ch138
vt-header	11	ch118, ch119, ch120, ch138
vt-mission	6	ch118, ch119, ch120, ch138
vt-rule	8	ch118, ch120, ch138
vt-tag	12	ch119, ch120
vt-verdict	3	ch120
wardrobe-block	35	ch007, ch009, ch015, ch037, ch051, ch053, ch094, ch106, ch244, ch248, ch249, ch253, ch260, ch267, ch268, ch269, ch272, ch279, ch280, ch281, ch283, ch284, ch286, ch287, ch288, ch290, ch291, ch292, ch293, ch294, ch297, ch299, ch303
wd-city	14	ch144, ch243, ch269, ch273, ch276, ch278
wd-country	14	ch144, ch243, ch269, ch273, ch276, ch278
wd-effect	39	ch007, ch009, ch015, ch037, ch051, ch053, ch094, ch106, ch244, ch248, ch249, ch253, ch260, ch267, ch268, ch269, ch272, ch279, ch280, ch281, ch283, ch284, ch286, ch287, ch288, ch290, ch291, ch292, ch293, ch294, ch297, ch299, ch303
wd-globe	14	ch144, ch243, ch269, ch273, ch276, ch278
wd-header	35	ch007, ch009, ch015, ch037, ch051, ch053, ch094, ch106, ch244, ch248, ch249, ch253, ch260, ch267, ch268, ch269, ch272, ch279, ch280, ch281, ch283, ch284, ch286, ch287, ch288, ch290, ch291, ch292, ch293, ch294, ch297, ch299, ch303
wd-item	6	ch007, ch009, ch015, ch037, ch094, ch106
wd-label	116	ch007, ch009, ch015, ch037, ch051, ch053, ch094, ch106, ch244, ch248, ch249, ch253, ch260, ch267, ch268, ch269, ch272, ch279, ch280, ch281, ch283, ch284, ch286, ch287, ch288, ch290, ch291, ch292, ch293, ch294, ch297, ch299, ch303
wd-note	26	ch007, ch009, ch015, ch037, ch094, ch106, ch272, ch279, ch280, ch281, ch283, ch284, ch286, ch287, ch288, ch290, ch291, ch292, ch293, ch294, ch297, ch299, ch303
wd-photo	28	ch009, ch037, ch094, ch244, ch248, ch253, ch260, ch267, ch268, ch269, ch280, ch281, ch283, ch284, ch286, ch287, ch288, ch290, ch291, ch292, ch293, ch294, ch297, ch299, ch303
wd-sub	28	ch144, ch243, ch269, ch273, ch276, ch278, ch284, ch287, ch288, ch290, ch291, ch292, ch293, ch294, ch297, ch299, ch303
wd-tag	35	ch007, ch009, ch015, ch037, ch051, ch053, ch094, ch106, ch244, ch248, ch249, ch253, ch260, ch267, ch268, ch269, ch272, ch279, ch280, ch281, ch283, ch284, ch286, ch287, ch288, ch290, ch291, ch292, ch293, ch294, ch297, ch299, ch303
wh-close	13	ch254, ch266, ch272, ch274, ch275, ch276, ch277, ch291, ch292, ch296, ch299, ch300, ch303
wh-label	15	ch254, ch266, ch272, ch274, ch275, ch276, ch277, ch291, ch292, ch295, ch296, ch299, ch300, ch302, ch303
wh-note	5	ch266, ch300, ch302, ch303
wh-reply	41	ch254, ch266, ch272, ch274, ch275, ch276, ch277, ch291, ch292, ch295, ch296, ch299, ch300, ch302, ch303
wh-voice	54	ch254, ch266, ch272, ch274, ch275, ch276, ch277, ch291, ch292, ch295, ch296, ch299, ch300, ch302, ch303
whisper-block	15	ch254, ch266, ch272, ch274, ch275, ch276, ch277, ch291, ch292, ch295, ch296, ch299, ch300, ch302, ch303
world-dispatch	14	ch144, ch243, ch269, ch273, ch276, ch278
xman	1	ch120
yellow	4	ch119, ch120
